sanitizer 	sample 	chl.added	chl.measured.ave	chl.measured.se	CLD.ave	CLD.se
accutab	ag1	2	0.85	0.11	1.15	0.11
accutab	ag1	4	2.87	0.19	1.13	0.19
accutab	ag1	10	8.23	0.36	1.77	0.36
accutab	ag1	15	11.77	0.58	3.23	0.58
accutab	ag1	20	16.4	0.41	3.6	0.41
accutab	ag1	30	25.65	0.35	4.35	0.35
accutab	ag1	40	35.85	0.65	4.15	0.65
accutab	ag2	2	0.27	0.05	1.73	0.05
accutab	ag2	4	0.32	0.07	3.68	0.07
accutab	ag2	10	3.58	0.4	6.42	0.4
accutab	ag2	15	8.08	0.43	6.92	0.43
accutab	ag2	20	13.4	1.21	6.6	1.21
accutab	ag2	30	23.2	0.9	6.8	0.9
accutab	ag2	40	32.85	0.45	7.15	0.45
accutab	di	2	1.83	0.07	0.18	0.07
accutab	di	4	4.07	0.08	-0.07	0.08
accutab	di	10	9.17	0.09	0.83	0.09
accutab	di	15	14.28	0.25	0.72	0.25
accutab	di	20	18.29	0.42	1.71	0.42
accutab	di	30	27.95	0.55	2.05	0.55
accutab	di	40	38.15	0.85	1.85	0.85
